stadium,facility,teams,lat,lon,altitude_ft,tz,source
Bank of America Stadium,BankOfAmerica,CAR,35.225833,-80.852778,748.0,America/New_York,wiki:https://en.wikipedia.org/wiki/Bank_of_America_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
TIAA Bank Stadium,TIAA,JAX,30.323889,-81.6375,20.0,America/New_York,wiki:https://en.wikipedia.org/wiki/EverBank_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Empower Field at Mile High,MileHigh,DEN,39.743889,-105.02,5236.0,America/Denver,wiki:https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High elevation:open-elevation(srtm) fetched:2026-08-31
Allegiant Stadium,Allegiant,LV,36.090556,-115.183889,2192.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Allegiant_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
GEHA Field at Arrowhead Stadium,Arrowhead,KC,39.048889,-94.483889,896.0,America/Chicago,wiki:https://en.wikipedia.org/wiki/Arrowhead_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Lumen Field,Lumen,SEA,47.5952,-122.3316,46.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Lumen_Field elevation:open-elevation(srtm) fetched:2026-08-31
Acrisure Stadium,Acrisure,PIT,40.446667,-80.015833,719.0,America/New_York,wiki:https://en.wikipedia.org/wiki/Acrisure_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Paycor Stadium,Paycor,,39.095,-84.516,505.0,America/New_York,wiki:https://en.wikipedia.org/wiki/Paycor_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Arrowhead Stadium,Arrowhead,,39.048889,-94.483889,896.0,America/Chicago,wiki:https://en.wikipedia.org/wiki/Arrowhead_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
CenturyLink Field,Lumen,,47.5952,-122.3316,46.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Lumen_Field elevation:open-elevation(srtm) fetched:2026-08-31
Heinz Field,Acrisure,,40.446667,-80.015833,719.0,America/New_York,wiki:https://en.wikipedia.org/wiki/Acrisure_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Paul Brown Stadium,Paycor,CIN,39.095,-84.516,505.0,America/New_York,wiki:https://en.wikipedia.org/wiki/Paycor_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Sports Authority Field at Mile High,MileHigh,,39.743889,-105.02,5236.0,America/Denver,wiki:https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High elevation:open-elevation(srtm) fetched:2026-08-31
Ring Central Coliseum,OaklandColiseum,OAK,37.751667,-122.200556,16.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Oakland_Coliseum elevation:open-elevation(srtm) fetched:2026-08-31
Oakland-Alameda County Coliseum,OaklandColiseum,,37.751667,-122.200556,16.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Oakland_Coliseum elevation:open-elevation(srtm) fetched:2026-08-31
Los Angeles Memorial Coliseum,LAColiseum,,34.014167,-118.287778,177.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum elevation:open-elevation(srtm) fetched:2026-08-31
StubHub Center,StubHub,,33.864,-118.261,85.0,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park elevation:open-elevation(srtm) fetched:2026-08-31
Tottenham Stadium,Tottenham,,51.6044,-0.0664,43.0,Europe/London,wiki:https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Wembley Stadium,Wembley,,51.5556,-0.2794,197.0,Europe/London,wiki:https://en.wikipedia.org/wiki/Wembley_Stadium elevation:open-elevation(srtm) fetched:2026-08-31
Allianz Arena,Allianz,,48.218775,11.624753,1608.0,Europe/Berlin,wiki:https://en.wikipedia.org/wiki/Allianz_Arena elevation:open-elevation(srtm) fetched:2026-08-31
Deutsche Bank Park,DeutscheBankPark,,50.068056,8.645806,381.0,Europe/Berlin,wiki:https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt) elevation:open-elevation(srtm) fetched:2026-08-31
Azteca Stadium,Azteca,,19.303,-99.1505,7503.0,America/Mexico_City,wiki:https://en.wikipedia.org/wiki/Estadio_Azteca elevation:open-elevation(srtm) fetched:2026-08-31
Arena Corinthians,Corinthians,,-23.545333,-46.474305,2575.0,America/Sao_Paulo,wiki:nominatim:Neo Química Arena elevation:open-elevation(srtm) fetched:2026-08-31
